WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
3,VSD QUARTERLY CHECK,TASK,
4,VSD QUARTERLY CHECK,TASK,
5,VSD QUARTERLY CHECK,TASK,
6,PUMP QUARTERLY CHECK,TASK,
7,PUMP QUARTERLY CHECK,TASK,
8,TO RELOCATE RUBBER MAT TO WAREHOUSE,TASK,
9,TO RECORD WC-1 CHILLER PERFORMANCE DATA RECORD,TASK,TO RECORD DATA BEFORE ANNUAL CHILLER MAINTENANCE WORK
10,"TO ARRANGE TO CHECK THE WCP 3 WITH TORISHIMA ON FRIDAY , 10AM",TASK,"Yuslane , as discussed intoday meeting, please arrange to remove the insulation for Torshima engineer to do a scope inspection on pump impeller. - Ang"
11,To stroke Tomoe MOV at Sail,TASK,Control Valve - Equipment will be added later .Ang
12,Annual maintenance for chiller - WC1,TASK,"Work Instruction  (To be carried out by Yuslane and OTs)
1.  Collect sample of compressors oil for analysis
2.  LOTO(Electrical)by LEW ready by 2pm 26/08/08 - Jason
3.  LOTO(Mechanical)- Yuslane
4.  Drain out cooling water in condenser
5.  Transfer Chilled water in evaporator to temporary storage tanks
6.  Remove insulation on evaporator water box
7.  Check condition of tubes and water box in condenser and evaporator
8.  Clean tubes and water box of condenser and evaporator
9.  Re-paint tube sheet and water box of condenser and evaporator
10.  Inspect terminal box of compressor motors
11. Megger inlsulation of oil heaters and oil pumps
12. Megger insulation of compressor motors by LEW - Jason
13. Replace refrigerant filter dryers
14. Replace oil filters
15. Check operation of safety valves.
16. Check operation of pressure gauges
17. Check operation of temperature sensors
18. Check operation of differential pressure sensors
19. Check operation of protective relay
20. Restore insulation on evaporator water box
21. Fill cooling water in condenser
22. Transfer Chilled water from temporary storage tanks to evaporator
23. Purge air in Chilled water circuit,Cooling Water circuit and oil circuit.
24. Remove LOTO and re-connect power supply to chiller - LEW

04/09/2008 - All the abovementioned work had been executed & WC-1 test run for 2hrs.Result is normal working condition. - Yuslane"
13,TO TRANSFER THE PARTITIONS TO WAREHOUSE,FACILITY,OFFICE PARTITION TO TRANSFER FROM B1 LOBBY TO L1 WAREHOUSE-YUSLANE
14,TO VERIFY WC-1 TEMPERATURE SENSORS,I&C,VERIFICATION CONSISTENCY OF INLET/OUTLET TEMPERATURE SENSORS FOR CHILLED/COOLING WATER SIDE WITH LCP & MCP-YUSLANE
15,STRAINER CLEANING (CONDENSER/COOLING WATER CIRCUIT),OPERATIONS,"1) COOLING WATER STRAINER CLEANING
2) CLEAN DIFFERENTIAL PRESSURE TUBINGS(AIR BLOW) @ CHILLED WATER PIPE-2NOS.
                                                                                                         COOLING WATER PIPE-2NOS.  - YUSLANE"
16,PLEASE CALIBRATE THE TEMPERATURE SENSOR TE - 101-1 AND TE-101-2,I&C,"05/09/2008 - AFTER VERIFICATION, THE TEMPERATURE SENSORS WERE CALIBRATED. CALIBRATION VALUES COMPILED BY MEERA."
16,PLEASE CALIBRATE THE TEMPERATURE SENSOR TE - 101-1 AND TE-101-2,I&C,"YUSLANE, ARRANGE A ""OT"" CALIBRATE THE CHW HEADER SUPPLY AND RETURN TEMPERATURE SENSORS. BY -SHAN, ON - 27.08.2008"
18,REPLACE THE GATE VALVE OF NEWATER TANK-2,MECH,"Dear Leo, Top-up the level to 9Mtrs for both tanks and close the incoming water line valve at Level 1 with help of Operatino Technician and proceed to replace the NEWater tank valve-2.Requested on 28/8/2008. By : Jason

2/9/2008 - Not complete part delivey . Job hold - Jason

15/09/2008 - JASON & ZAWLATT PUT THE VALVE AT THE NEWATER TANK 2.GATE VALVE INSTALLATION SCHEDULE FOR 16/09/2008

17/09/2008 - JASON & ZAWLATT FIXED THE NEW GATE VALVE AND TEST FOR LEAKAGE-OK."
19,DBF-3 Frequency of discharge cycle,OPERATIONS,"Dear Yuslane, Arrange to decrease the flushing cycle to 12hours once instead of present 2hours once.
Requested By : Shan"
21,Cooling Tower CT10 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO. 

04/09/2008 - WORK PERFORMED AS FEEDBACK BY LEO :
             1)STOLZ INSTALLED SPACER RING.
             2)PITCH ANGLE FOR 4NOS. FAN BLADES WERE ADJUSTED AT 41 DEGREES WITH A TOLERANCE OF +/- 0.5"
22,Cooling Tower CT09 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO. 

04/09/2008 - WORK PERFORMED AS FEEDBACK BY LEO :
             1)STOLZ INSTALLED SPACER RING.
             2)PITCH ANGLE FOR 4NOS. FAN BLADES WERE ADJUSTED AT 41 DEGREES WITH A TOLERANCE OF +/- 0.5"
23,Cooling Tower CT08 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO."
24,Cooling Tower CT07 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO."
25,Cooling Tower CT06 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO."
26,Cooling Tower CT05 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO."
27,Cooling Tower CT04 - Installation of spacer ring,MECH,"4/9/08 - The work shall scheduled to start on 5/9/08.

Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO.

08/09/08 - Fan blade pitch angle adjusted to 41deg. and vibration reading taken before and after maintenance."
28,Cooling Tower CT03 - Installation of spacer ring and siffener bends,MECH,"4/9/08 - The work shall scheduled to start on 5/9/08.

Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Install stiffener bends.
5. Remove LOTO.

05/09/2008 - Fan blade pitch angle adjusted to 41deg.
             *** Found cracks on fan blade."
29,Cooling Tower CT02 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO. 

10/09/2008 - Fan Blade pitch angle adjust to 41deg. Install spacer ring and took vibration reading - Leo
             During work, found 2cracks on fan blade."
30,Cooling Tower CT01 - Installation of spacer ring,MECH,"Work Instructions (To be carried out by Yuslane, Leo, OTs)
1. Apply LOTO on cooling towers.
2. Install spacer ring.
3. Confirm and adjust pitch angle of fan blades.
4. Remove LOTO.

09/09/2008 - FAn Blade pitch angle adjust to 41deg. Install spacer ring and took vibration reading - Leo"
31,MEETING ROOM - ORGANISE CABLE AT UNDER THETABLE,I&C,PLEASE HELP TO RE ARRANGE THE CABLE BELOW THE MEETING ROOM NEATLY BY ANY OTHER MEANS SUCH AS CABLE TIE. SAHWAN
32,To change brine flowrate low set-point from 90m3/h to 50m3/h,I&C,Change brine minimum flowrate from 90m3/h to 50m3/h at flow transmitter FT-335A-1
33,TO CHANGE THE SET POINT OF LOW FLOW CUT OFF FROM 90m3/h TO 50m3/h,I&C,
33,TO CHANGE THE SET POINT OF LOW FLOW CUT OFF FROM 90m3/h TO 50m3/h,I&C,
33,TO CHANGE THE SET POINT OF LOW FLOW CUT OFF FROM 90m3/h TO 50m3/h,I&C,
33,TO CHANGE THE SET POINT OF LOW FLOW CUT OFF FROM 90m3/h TO 50m3/h,I&C,
33,TO CHANGE THE SET POINT OF LOW FLOW CUT OFF FROM 90m3/h TO 50m3/h,I&C,
34,TO TAKE OIL SAMPLE,OPERATIONS,TO TAKE OIL SAMPLE FROM COMPRESSOR WC-3-1 FOR OIL ANALYSIS - TEO via YBI
35,Tower 2-BTU meter MWhr dip on 30.08.2008 2159to 2200hrs(To Meera),I&C,"Dear Steven and Nam

Refer to Shan email , we have encounter that the BTU for T2 (QQ value) has dip to zero and then recover for 1 period.

We have look at the system log and did not receive any profibus loss communication.  A check on our E+H meter has not seen any abnormal.

From the log we capture , all the BTU value except the MWrh has dipped and I am suspecting there is a loss of communication with the QQ point.

Can you advise us what is the approach to look at this problem as it has an impact on our invoicing to customer.


Best Regards

Ang/Meera

2 Sep 2008- Meera informed awaiting ABB reply.On Hold,


As per Stephen E-mail reply that currently we don't know why this happend so we monitor closely this issue to come again. and below attached the e-mail.


Hi Meera,

This dip is observed from the kWhr, the totalizer value done in the BTU meter. What we can know of is the comms is fine, since all other values such s temp, kW is varying during this period. The dip may only happened in a very shot time, and our trend is sampling only at 10sec intervals.

BTU meter calculation seems not affected since it is accumulating the same counter values after the dip.

Difficult to see what problems, pls keeep a lookout if this happened again??

Regards

ChunWeng Liew
ABB Industry Pte Ltd
Process Automation Division
Control Systems
SG 

Phone: +65 6773 8609
Fax: +65 6779 5276
Mobile: +65 9119 3421
email: chunweng.liew@sg.abb.com 
Jalaludeen Kadar Meera <jalaludeen@singaporepower.com.sg>"
36,TO PERF0RM MONTHLY CHECKLIST,FACILITY,"1) NOISE MEASUREMENT & REFRIGERANT GAS LEAKAGE,
2) FORKLIFT TEST RUN,
3) FIRST AID INVENTORY,
4) PLANT COMMON TOOLS CHECK,
5) UPS BATTERY TEST

2/9/2008- ITEM 5)UPS BATTERY TEST WILL BE SCHEDULED IN NOVEMBER UNDER 3MONTHLY CHECKLIST-INFORMED BY JASON"
37,STRAINER CLEANING (EVAPORATOR/CHILLED WATER CIRCUIT),OPERATIONS,STRAINER CLEANING
38,Inspection of Air Receiver by MOM approved examiner,OPERATIONS,"Instruction to OT
1. Apply LOTO to isolate air receiver from system
2. Discharge compressed air from air receiver
3. Open manway for inspection
4. Replace gasket and close manway
5. Fill air receiver with compressed air
6. Remove LOTO

Note;
Spare parts need to purchase gasket sizes 4"" , 150lbs"
39,WC-2-2 TRIGGERED I/L STARTER PANEL,ELEC,"COMPRESSOR NO.2 SUDDENLY OFF TRIGGERRING ALARM STATED "" I/L STARTER PANEL - YUSLANE

03/09/2008 - CHECK INSIDE SWITCHGEAR CABINET AND FOUND WC-2-2 F100 MCB TRIPPED.RESETTED BACK TO NORMAL AND TEST OPERATION.CHILLER OPERATION NORMAL.
             * F100 IS ""DU""(DRIVE UNIT(110V DC SUPPLY)) FOR VACUUM CONTACTOR.-JASON"
40,WC-2-2 OPERATING UNDER LOW PRESSURE CONDITION,OPERATIONS,"UNDER EVAPORATOR LOW PRESSURE ALARM, WE ARE STILL OPERATING.
PLS CHECK WITH MHI REGARDING HOW TO SOLVE THIS ISSUE- MAYBE NEED TO RECOVER THE REFRIGERANT ETC.....
TO BE CONCLUDE DURING WC-2 ANNUAL MAINTENANCE - YUSLANE

04/11/2008 - AFTER WC-2 ANNUAL MAINTENANCE, WHEN WC-2 RUNNING FULL LOAD OPERATION, BOTH WC-2-1 & WC-2-2 EVAPORATORS' PRESSURE ARE NORMAL."
41,To do preventive maintenance of the pump and also the motor.,TASK,04/09/2008-DETAILS OF WORK IS UNDER ATTACHMENT
42,TO PERFORM NOISE MEASUREMENT FOR CT10,OPERATIONS,"04/09/2008 -  WHEN WC-2 RUNNING SINGLE MODE OPERATION WITH 2NOS. COOLING TOWERS:
                        1) KIM PROCEED TO CT FAN DECK NEAR CT10 MOTOR & RAMA STANDBY AT CONTROL ROOM.
                        2) RAMA OFF THE OTHER RUNNING CT FAN FOR KIM TO TAKE CT10 MEASUREMENT @ 3 POINTS.
                        3) AFTER COMPLETION, RAMA ON BACK THE OTHER CT FAN FOR NORMAL OPERATION.

*** PLS TAKE MEASUREMENT IN dBA & dBC

05/09/2008 @ 0100HRS- READINGS TAKEN AS FOLLOWS:
                                  dBA      dBC
                      POINT A -   84.9     86.3
                      POINT B -   86.4     90.5
                      POINT C -   86.9     90.7"
